produto,Unnamed: 1,prediction
amendoa castanhas brasil 200g,,"(('__label__laticínios,manteiga', '__label__doces', '__label__legumes,cogumelo', '__label__laticínios,requeijão', '__label__frutas,uva'), array([0.06672612, 0.06325077, 0.0263811 , 0.02566482, 0.02285445]))"
batida limao joinville 700ml,,"(('__label__destilados,cachaça', '__label__destilados,licor', '__label__sucos,xarope', '__label__destilados,coquetel', '__label__destilados,vodka'), array([0.15653145, 0.10899577, 0.03689231, 0.03008199, 0.02864389]))"
tum energy drink 275ml,,"(('__label__suplementos', '__label__cozinha,copo', '__label__cabelo,shampoo', '__label__cervejas,cerveja', '__label__destilados,cachaça'), array([0.29664066, 0.21163371, 0.08859175, 0.0852582 , 0.06386947]))"
balao liso t.7 verde kele c/25,,"(('__label__utensílios', '__label__conveniências,vela', '__label__jardinagem,vaso', '__label__cozinha,copo', '__label__papelaria,papel'), array([0.18290511, 0.08597579, 0.04023031, 0.03283085, 0.03241304]))"
tampa para embalagem pp 235x153mm c/400,,"(('__label__cozinha,tigela', '__label__cozinha,pote', '__label__utensílios', '__label__cozinha,copo', '__label__cozinha,caneca'), array([0.06006198, 0.05626269, 0.05384904, 0.03081499, 0.03011926]))"
vela estrela rosa naº 6 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__embalagens', '__label__papelaria,caneta'), array([0.94940585, 0.01955548, 0.00283546, 0.00125483, 0.00104678]))"
vela estrela rosa naº 8 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__embalagens'), array([9.70048785e-01, 1.48721235e-02, 8.57887149e-04, 7.87079684e-04,
       5.68819640e-04]))"
vela estrela rosa naº 9 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__embalagens', '__label__papelaria,caneta'), array([9.64942634e-01, 1.40108690e-02, 2.72895442e-03, 1.54400326e-03,
       8.38815351e-04]))"
vela estrela azul naº 6 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__embalagens'), array([0.93929756, 0.02432735, 0.00345288, 0.00292869, 0.00164519]))"
vela estrela azul naº 8 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__papelaria,caneta', '__label__bebê,chupeta', '__label__embalagens'), array([9.62891161e-01, 1.85617879e-02, 2.20481609e-03, 1.04657665e-03,
       7.46485544e-04]))"
vela estrela azul naº 9 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__embalagens'), array([0.95741147, 0.017479  , 0.00333259, 0.00234993, 0.00203083]))"
vela estrela rosa naº 3 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__utensílios', '__label__cozinha,faca'), array([0.92612767, 0.0187883 , 0.00408037, 0.00139525, 0.00129071]))"
vela estrela rosa naº 4 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__utensílios'), array([9.45108891e-01, 1.71737541e-02, 2.55706673e-03, 1.65906327e-03,
       9.31959716e-04]))"
kimarc elastico chato n 10 c 1 ref 3467,,"(('__label__papelaria,pasta', '__label__papelaria,estojo', '__label__utensílios', '__label__papelaria,mochila', '__label__jardinagem,vaso'), array([0.07944805, 0.04320133, 0.03888095, 0.0250258 , 0.02469046]))"
kit set cozinha de plastico 1un 04270235 un 1 un,,"(('__label__cozinha,faca', '__label__cozinha,cortador', '__label__utensílios', '__label__cabelo,pente', '__label__cozinha,utensílios'), array([0.03753949, 0.02675196, 0.02462942, 0.02443298, 0.02286613]))"
boneca garota bonita 1un 042800001 un 1 un,,"(('__label__utensílios', '__label__farmácia', '__label__corpo,bucha', '__label__cozinha,forma', '__label__cabelo,pente'), array([0.02921819, 0.02043379, 0.01748385, 0.01650152, 0.01403432]))"
snacks ipet dog beer bifinho carne e leite para caes filhotes - 60 g,,"(('__label__cães,ração', '__label__cães,""ração', '__label__gatos,ração', '__label__pet', '__label__cães,guia'), array([0.08402161, 0.06369694, 0.02647489, 0.02548497, 0.017484  ]))"
muffin padaria pet sabor laranja para caes - 30 g,,"(('__label__gatos,ração', '__label__cães,ração', '__label__cães,guia', '__label__gatos,""ração', '__label__cães,""ração'), array([0.02587969, 0.01656497, 0.01512406, 0.0124106 , 0.01184056]))"
bifinhos em palitos padaria pet salmao com linhaca para gatos - 50 g,,"(('__label__gatos,ração', '__label__cães,guia', '__label__cães,""guia', '__label__gatos,pet', '__label__alimento'), array([0.01014839, 0.00788023, 0.00767644, 0.00679464, 0.00605355]))"
mini sticks petitos sabor carne com leite para caes - 350 g,,"(('__label__cães,ração', '__label__cães,osso', '__label__confeitaria,mistura', '__label__cães,guia', '__label__cães,peitoral'), array([0.05718225, 0.02709348, 0.02331493, 0.01639335, 0.0146637 ]))"
squeeze astronautica 300ml 174 un 1 un,,"(('__label__cozinha,garrafa', '__label__utensílios', '__label__cozinha,copo', '__label__cozinha,caneca', '__label__cozinha,pote'), array([0.19432995, 0.16932295, 0.15728462, 0.11374833, 0.06924507]))"
kit casinha moveis plastico 1un sk042702 un 1 un,,"(('__label__utensílios', '__label__papelaria,pincel', '__label__jardinagem,vaso', '__label__cozinha,porta', '__label__cozinha,pote'), array([0.06914163, 0.0251974 , 0.01861207, 0.01628152, 0.01497183]))"
caneco destak craqueado n12 c cabo 1un un 1 un,,"(('__label__cabelo,pente', '__label__cozinha,faca', '__label__cozinha,caçarola', '__label__cozinha,frigideira', '__label__cozinha,ralador'), array([0.02762104, 0.02608459, 0.01754352, 0.01328969, 0.01326946]))"
bolo bamboo nata goiaba 720g un 720 g,,"(('__label__biscoitos', '__label__pães,pão', '__label__confeitaria,mistura', '__label__pães,pao', '__label__chocolates,ovo'), array([0.27854276, 0.06135483, 0.04334423, 0.01826208, 0.01144187]))"
bolo bamboo laranja 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__pães,pão', '__label__cozinha,forma', '__label__farmácia', '__label__pães,pao'), array([0.03695159, 0.02448575, 0.01794091, 0.01027742, 0.00997922]))"
bolo bamboo limao 720g un 720 g,,"(('__label__pães,pão', '__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pao', '__label__arroz,arroz'), array([0.0330851 , 0.03200942, 0.01541725, 0.01145356, 0.00566563]))"
bolo bamboo tradicional 720g un 720 g,,"(('__label__pães,pão', '__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pao', '__label__arroz,arroz'), array([0.12819542, 0.06569825, 0.03749852, 0.02725128, 0.01222057]))"
bolo bamboo formigueiro 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03179937, 0.02973434, 0.0285648 , 0.00990051, 0.00715253]))"
bolo bamboo chocolate 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pão', '__label__bolos', '__label__chocolates,ovo'), array([0.13099715, 0.04678835, 0.02268049, 0.01812482, 0.01055509]))"
bolo bamboo mesclado 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03628676, 0.03372518, 0.02834383, 0.00992889, 0.00719428]))"
farinha de mandioca da roca amarela 1kg,,"(('__label__peixes,filé', '__label__grãos,milho', '__label__peixes,file', '__label__farináceos', '__label__cabelo,creme'), array([0.1383604 , 0.06891251, 0.06407687, 0.06224652, 0.02021247]))"
